Name,Creator,Mission Link,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
5/6 Gateshead Millennium Bridge,Muuske,https://www.ingress.com/mission/c8290924835042d49c1ea6bb7528751c.1c,Sequential,Banner,Gateshead Millennium Bridge,5,Easy Variety (Hack/Upgrade),Yes (close),1,No,"https://www.ingress.com/intel?ll=54.96689,-1.603665&z=18&pls=54.967983,-1.606138,54.96715,-1.605414_54.96715,-1.605414,54.966939,-1.605479_54.966939,-1.605479,54.966343,-1.604634_54.966343,-1.604634,54.966826,-1.604285"
6/6 Gateshead Millennium Bridge,Muuske,https://www.ingress.com/mission/c3eadeb393104e98ab716df5a57b97b7.1c,Sequential,Banner,Gateshead Millennium Bridge,6,Easy Variety (Hack/Upgrade),Yes (close),2,No,"https://www.ingress.com/intel?ll=54.969189,-1.598531&z=17&pls=54.967143,-1.605036,54.96786,-1.603281_54.96786,-1.603281,54.969177,-1.599455_54.969177,-1.599455,54.97011,-1.600083"
Tour of Newcastle #1,GeordieLass,https://www.ingress.com/mission/28f95b245a7440dd996baf76d00ec613.1c,Sequential,Banner,Tour of Newcastle,1,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=54.973797,-1.612844&z=17&pls=54.974228,-1.615376,54.974439,-1.615263_54.974439,-1.615263,54.974664,-1.615284_54.974664,-1.615284,54.974202,-1.614654_54.974202,-1.614654,54.974073,-1.613969_54.974073,-1.613969,54.974553,-1.613455_54.974553,-1.613455,54.974196,-1.613648_54.974196,-1.613648,54.973835,-1.613157_54.973835,-1.613157,54.974129,-1.612744_54.974129,-1.612744,54.973997,-1.61238"
Tour of Newcastle #2,GeordieLass,https://www.ingress.com/mission/842d6a4673a34c84b3c8e4f72e036c61.1c,Sequential,Banner,Tour of Newcastle,2,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.974164,-1.608446&z=17&pls=54.974176,-1.61189,54.974411,-1.611973_54.974411,-1.611973,54.974626,-1.61186_54.974626,-1.61186,54.97465,-1.611505_54.97465,-1.611505,54.974304,-1.610435_54.974304,-1.610435,54.974632,-1.610212_54.974632,-1.610212,54.974077,-1.609405_54.974077,-1.609405,54.974477,-1.608749_54.974477,-1.608749,54.974653,-1.609332_54.974653,-1.609332,54.97493,-1.609594"
Tour of Newcastle #3,GeordieLass,https://www.ingress.com/mission/855b5cb9f3f74ea29c6672033988e41f.1c,Sequential,Banner,Tour of Newcastle,3,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.976466,-1.607167&z=17&pls=54.975909,-1.610246,54.97616,-1.610358_54.97616,-1.610358,54.976697,-1.609333_54.976697,-1.609333,54.976258,-1.609359_54.976258,-1.609359,54.976238,-1.608419_54.976238,-1.608419,54.976029,-1.607313_54.976029,-1.607313,54.976282,-1.606956_54.976282,-1.606956,54.976606,-1.606797_54.976606,-1.606797,54.976728,-1.606438"
Tour of Newcastle #4,GeordieLass,https://www.ingress.com/mission/01d978912f834972a9cf1502e2be406c.1c,Sequential,Banner,Tour of Newcastle,4,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.9779,-1.607654&z=18&pls=54.977013,-1.607045,54.977233,-1.608052_54.977233,-1.608052,54.977256,-1.608367_54.977256,-1.608367,54.977747,-1.607756_54.977747,-1.607756,54.978339,-1.608186_54.978339,-1.608186,54.97852,-1.60774_54.97852,-1.60774,54.978721,-1.607813_54.978721,-1.607813,54.978517,-1.608576_54.978517,-1.608576,54.978317,-1.609111_54.978317,-1.609111,54.978715,-1.609173_54.978715,-1.609173,54.978908,-1.609101"
Tour of Newcastle #5,GeordieLass,https://www.ingress.com/mission/afa1ffa208ea4de8a36cad5c387575a3.1c,Sequential,Banner,Tour of Newcastle,5,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.976983,-1.609547&z=17&pls=54.978747,-1.609847,54.977478,-1.609841_54.977478,-1.609841,54.977301,-1.609489_54.977301,-1.609489,54.977361,-1.60893_54.977361,-1.60893,54.97718,-1.608789_54.97718,-1.608789,54.976952,-1.609744_54.976952,-1.609744,54.977159,-1.610051_54.977159,-1.610051,54.977088,-1.610382_54.977088,-1.610382,54.976464,-1.610972_54.976464,-1.610972,54.976712,-1.611978_54.976712,-1.611978,54.97676,-1.612517_54.97676,-1.612517,54.975311,-1.612297"
Tour of Newcastle #6,GeordieLass,https://www.ingress.com/mission/19d947c452784fdf811b3699f366ed42.1c,Sequential,Banner,Tour of Newcastle,6,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.976443,-1.613217&z=18&pls=54.975432,-1.612681,54.9756,-1.612487_54.9756,-1.612487,54.975856,-1.613122_54.975856,-1.613122,54.975842,-1.613522_54.975842,-1.613522,54.977005,-1.613109_54.977005,-1.613109,54.977394,-1.613597_54.977394,-1.613597,54.977224,-1.614193_54.977224,-1.614193,54.977064,-1.614387_54.977064,-1.614387,54.977238,-1.614514_54.977238,-1.614514,54.977183,-1.615013_54.977183,-1.615013,54.977779,-1.613895"
Tour of Newcastle #7,GeordieLass,https://www.ingress.com/mission/acd67632cfca484087a44ca3fdbb13ac.1c,Sequential,Banner,Tour of Newcastle,7,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.978329,-1.612361&z=19&pls=54.978042,-1.613184,54.978145,-1.612904_54.978145,-1.612904,54.978596,-1.612807_54.978596,-1.612807,54.978721,-1.61246_54.978721,-1.61246,54.978453,-1.61201_54.978453,-1.61201,54.97825,-1.612247_54.97825,-1.612247,54.977763,-1.611732_54.977763,-1.611732,54.978435,-1.611441_54.978435,-1.611441,54.979029,-1.611318_54.979029,-1.611318,54.978914,-1.611785_54.978914,-1.611785,54.979006,-1.612261_54.979006,-1.612261,54.979132,-1.612609"
Tour of Newcastle #8,GeordieLass,https://www.ingress.com/mission/2baab3359bad4d3696289dfbf76c5513.1c,Sequential,Banner,Tour of Newcastle,8,All Hacks,No,0,Yes (Logical),"https://www.ingress.com/intel?ll=54.98054,-1.614195&z=17&pls=54.979269,-1.612929,54.979612,-1.612814_54.979612,-1.612814,54.980143,-1.612847_54.980143,-1.612847,54.980258,-1.613094_54.980258,-1.613094,54.979898,-1.613252_54.979898,-1.613252,54.979669,-1.614009_54.979669,-1.614009,54.980235,-1.614534_54.980235,-1.614534,54.980588,-1.614558_54.980588,-1.614558,54.981086,-1.613897_54.981086,-1.613897,54.981031,-1.615244_54.981031,-1.615244,54.981996,-1.616667"
