Name,Creator,Mission Link,Sequence Type,Series Type,Series Name,Series Index,Difficulty,Field Trip Waypoints,FT Qty,Passphrases,Trace Link
7 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/d0e204f0e40e4cb4a326ec068739d791.1c,Any Order,Banner,Edinburgh Banner,7,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.949739,-3.203024&z=18&pls=55.950428,-3.205235,55.950516,-3.204586_55.950516,-3.204586,55.950599,-3.203729_55.950599,-3.203729,55.950847,-3.202675_55.950847,-3.202675,55.95099,-3.201922_55.95099,-3.201922,55.951038,-3.201055_55.951038,-3.201055,55.951419,-3.199446_55.951419,-3.199446,55.951554,-3.198679_55.951554,-3.198679,55.951597,-3.197781_55.951597,-3.197781,55.951776,-3.197395_55.951776,-3.197395,55.951705,-3.197086_55.951705,-3.197086,55.951931,-3.196687_55.951931,-3.196687,55.952019,-3.195594_55.952019,-3.195594,55.952197,-3.194426_55.952197,-3.194426,55.952252,-3.1936_55.952252,-3.1936,55.952428,-3.193186_55.952428,-3.193186,55.952313,-3.192736_55.952313,-3.192736,55.952507,-3.192778_55.952507,-3.192778,55.952638,-3.192399_55.952638,-3.192399,55.952501,-3.192188_55.952501,-3.192188,55.952204,-3.192105_55.952204,-3.192105,55.95145,-3.195379_55.95145,-3.195379,55.951229,-3.19578_55.951229,-3.19578,55.951477,-3.19717_55.951477,-3.19717,55.951171,-3.197211_55.951171,-3.197211,55.950939,-3.197672_55.950939,-3.197672,55.950784,-3.198045_55.950784,-3.198045,55.951,-3.198285_55.951,-3.198285,55.950728,-3.199084_55.950728,-3.199084,55.950589,-3.200116_55.950589,-3.200116,55.950266,-3.202026_55.950266,-3.202026,55.949914,-3.202477_55.949914,-3.202477,55.950031,-3.202841"
8 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/4e8e376bb9684dc8a11b0f904f235b60.1c,Any Order,Banner,Edinburgh Banner,8,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.94914,-3.181376&z=16&pls=55.949458,-3.193186,55.949458,-3.193101_55.949458,-3.193101,55.949572,-3.192333_55.949572,-3.192333,55.949629,-3.191826_55.949629,-3.191826,55.949462,-3.191429_55.949462,-3.191429,55.949526,-3.190925_55.949526,-3.190925,55.949519,-3.190011_55.949519,-3.190011,55.949663,-3.190264_55.949663,-3.190264,55.949783,-3.189962_55.949783,-3.189962,55.95002,-3.190268_55.95002,-3.190268,55.95004,-3.189366_55.95004,-3.189366,55.949857,-3.189013_55.949857,-3.189013,55.949765,-3.187836_55.949765,-3.187836,55.949896,-3.187979_55.949896,-3.187979,55.950059,-3.187816_55.950059,-3.187816,55.950101,-3.187288_55.950101,-3.187288,55.950339,-3.187014_55.950339,-3.187014,55.950479,-3.186043_55.950479,-3.186043,55.950501,-3.185324_55.950501,-3.185324,55.950578,-3.184978_55.950578,-3.184978,55.950786,-3.183527_55.950786,-3.183527,55.950807,-3.183066_55.950807,-3.183066,55.950924,-3.181867_55.950924,-3.181867,55.95101,-3.181342_55.95101,-3.181342,55.951239,-3.180769_55.951239,-3.180769,55.951432,-3.180174_55.951432,-3.180174,55.951421,-3.179473_55.951421,-3.179473,55.951633,-3.179022_55.951633,-3.179022,55.951474,-3.178233_55.951474,-3.178233,55.952026,-3.177876_55.952026,-3.177876,55.952172,-3.176964_55.952172,-3.176964,55.951924,-3.176555_55.951924,-3.176555,55.952131,-3.176426_55.952131,-3.176426,55.952306,-3.175824_55.952306,-3.175824,55.952501,-3.175715_55.952501,-3.175715,55.952359,-3.175461_55.952359,-3.175461,55.952554,-3.174008_55.952554,-3.174008,55.952257,-3.174327_55.952257,-3.174327,55.951844,-3.173099_55.951844,-3.173099,55.951969,-3.172772_55.951969,-3.172772,55.951601,-3.172763"
9 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/a089506db9ce40f2b71c85a4b26177f0.1c,Any Order,Banner,Edinburgh Banner,9,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.946859,-3.182995&z=15&pls=55.950828,-3.171769,55.951414,-3.173844_55.951414,-3.173844,55.950967,-3.174396_55.950967,-3.174396,55.951076,-3.174683_55.951076,-3.174683,55.950887,-3.174858_55.950887,-3.174858,55.95064,-3.174976_55.95064,-3.174976,55.950963,-3.175678_55.950963,-3.175678,55.951081,-3.175179_55.951081,-3.175179,55.950984,-3.176394_55.950984,-3.176394,55.949875,-3.179529_55.949875,-3.179529,55.949554,-3.179876_55.949554,-3.179876,55.949136,-3.183289_55.949136,-3.183289,55.94911,-3.185489_55.94911,-3.185489,55.948905,-3.185477_55.948905,-3.185477,55.948861,-3.186372_55.948861,-3.186372,55.948677,-3.186442_55.948677,-3.186442,55.948553,-3.187104_55.948553,-3.187104,55.948621,-3.187758_55.948621,-3.187758,55.948459,-3.189176_55.948459,-3.189176,55.948564,-3.189446_55.948564,-3.189446,55.948353,-3.19007_55.948353,-3.19007,55.948139,-3.192118_55.948139,-3.192118,55.94806,-3.192511_55.94806,-3.192511,55.947778,-3.193704"
10 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/76e610319b17494a9bf9695173eb119e.1c,Any Order,Banner,Edinburgh Banner,10,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.946407,-3.196638&z=16&pls=55.948171,-3.194655,55.948025,-3.194256_55.948025,-3.194256,55.947831,-3.194807_55.947831,-3.194807,55.947469,-3.196755_55.947469,-3.196755,55.947108,-3.196709_55.947108,-3.196709,55.947317,-3.197403_55.947317,-3.197403,55.94734,-3.197894_55.94734,-3.197894,55.947077,-3.197873_55.947077,-3.197873,55.946873,-3.197533_55.946873,-3.197533,55.946729,-3.197899"
11 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/d1d56fc32ce24a1b8d0e2f44106644e7.1c,Any Order,Banner,Edinburgh Banner,11,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.947083,-3.203895&z=16&pls=55.944839,-3.204743,55.945088,-3.204991_55.945088,-3.204991,55.945381,-3.205596_55.945381,-3.205596,55.945574,-3.205145_55.945574,-3.205145,55.946363,-3.20552_55.946363,-3.20552,55.946563,-3.205619_55.946563,-3.205619,55.946527,-3.206012_55.946527,-3.206012,55.9469,-3.206194_55.9469,-3.206194,55.946924,-3.205573_55.946924,-3.205573,55.947277,-3.206301_55.947277,-3.206301,55.947517,-3.20578_55.947517,-3.20578,55.94821,-3.206221_55.94821,-3.206221,55.949061,-3.206428_55.949061,-3.206428,55.949951,-3.206774_55.949951,-3.206774,55.949998,-3.206806_55.949998,-3.206806,55.9498,-3.207273_55.9498,-3.207273,55.950017,-3.207671_55.950017,-3.207671,55.950266,-3.20766"
12 of 12 Edinburgh Banner,gigitrix,https://www.ingress.com/mission/510a67a292d7431f890bfe6c86c9a05c.1c,Any Order,Banner,Edinburgh Banner,12,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.947574,-3.211725&z=16&pls=55.9498,-3.209118,55.949321,-3.210429_55.949321,-3.210429,55.949022,-3.210486_55.949022,-3.210486,55.948459,-3.211089_55.948459,-3.211089,55.948635,-3.211284_55.948635,-3.211284,55.94858,-3.212308_55.94858,-3.212308,55.948577,-3.212797_55.948577,-3.212797,55.947065,-3.215401_55.947065,-3.215401,55.946781,-3.215464_55.946781,-3.215464,55.946272,-3.216497_55.946272,-3.216497,55.945865,-3.217191_55.945865,-3.217191,55.945625,-3.218237"
Edinburgh Castle #1,gigitrix,https://www.ingress.com/mission/0e7e717c8f5f4dd2853c8b8df1387287.1c,Any Order,Banner,Edinburgh Castle (1-4),1,All Hacks,Yes (close),1,No,"https://www.ingress.com/intel?ll=55.949045,-3.196855&z=18&pls=55.94886,-3.196878,55.948813,-3.197665_55.948813,-3.197665,55.948713,-3.198257_55.948713,-3.198257,55.948693,-3.198309_55.948693,-3.198309,55.948472,-3.19827"
Edinburgh Castle #2,gigitrix,https://www.ingress.com/mission/84f962dea22540a8a569ae8880318d05.1c,Any Order,Banner,Edinburgh Castle (1-4),2,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.948255,-3.19862&z=18&pls=55.948583,-3.198585,55.948511,-3.198591_55.948511,-3.198591,55.948525,-3.199327_55.948525,-3.199327,55.94817,-3.199698_55.94817,-3.199698,55.948517,-3.199783_55.948517,-3.199783,55.948667,-3.20014"
Edinburgh Castle #3,gigitrix,https://www.ingress.com/mission/32ad70116d894d689e96693eee3f043a.1c,Any Order,Banner,Edinburgh Castle (1-4),3,All Hacks,Yes (close),4,No,"https://www.ingress.com/intel?ll=55.948417,-3.200031&z=18&pls=55.948146,-3.201011,55.948698,-3.201"
Edinburgh Castle #4,gigitrix,https://www.ingress.com/mission/e7e0943395d440268ac2fdf53ae189e8.1c,Any Order,Banner,Edinburgh Castle (1-4),4,Easy Variety (Hack/Upgrade),Yes (close),2,No,"https://www.ingress.com/intel?ll=55.948805,-3.201142&z=19&pls=55.948698,-3.201,55.949198,-3.201109_55.949198,-3.201109,55.948873,-3.201775_55.948873,-3.201775,55.948873,-3.201841"
Edinburgh Castle II,gigitrix,https://www.ingress.com/mission/8d434d113038433fbd3a799370bc0955.1c,Any Order,Banner,Edinburgh Castle (I-XIII),2,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.953843,-3.184199&z=18&pls=55.95356,-3.183012,55.953729,-3.183874_55.953729,-3.183874,55.953899,-3.184475_55.953899,-3.184475,55.95414,-3.184943_55.95414,-3.184943,55.954175,-3.184955_55.954175,-3.184955,55.953809,-3.185917"
Edinburgh Castle III,gigitrix,https://www.ingress.com/mission/2b2a145ef1db403b88f05ffdfb089791.1c,Any Order,Banner,Edinburgh Castle (I-XIII),3,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.953618,-3.174189&z=16&pls=55.953116,-3.181474,55.953538,-3.180186_55.953538,-3.180186,55.954229,-3.177712_55.954229,-3.177712,55.954494,-3.175924_55.954494,-3.175924,55.954958,-3.174563_55.954958,-3.174563,55.955607,-3.17311"
Edinburgh Castle XIII,gigitrix,https://www.ingress.com/mission/132f9f21bb2c492fad5781a5e5e2d301.1c,Any Order,Banner,Edinburgh Castle (I-XIII),13,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.946878,-3.19903&z=16&pls=55.946729,-3.197899,55.947077,-3.197873_55.947077,-3.197873,55.947232,-3.201141_55.947232,-3.201141,55.947614,-3.202053_55.947614,-3.202053,55.948323,-3.20328_55.948323,-3.20328,55.948831,-3.205627"
Edinburgh Castle XIV,gigitrix,https://www.ingress.com/mission/5ae729df71c4416ca1bcf2a1b6adcba6.1c,Any Order,Banner,Edinburgh Castle (I-XIII),14,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950109,-3.205314&z=17&pls=55.95156,-3.20012,55.951038,-3.201055_55.951038,-3.201055,55.95099,-3.201922_55.95099,-3.201922,55.951171,-3.202672_55.951171,-3.202672,55.950847,-3.202675_55.950847,-3.202675,55.950599,-3.203729_55.950599,-3.203729,55.950516,-3.204586_55.950516,-3.204586,55.950428,-3.205235_55.950428,-3.205235,55.950276,-3.205828_55.950276,-3.205828,55.949998,-3.206806_55.949998,-3.206806,55.949951,-3.206774_55.949061,-3.206428,55.9498,-3.207273_55.9498,-3.207273,55.949951,-3.206774_55.949951,-3.206774,55.949998,-3.206806_55.949998,-3.206806,55.950276,-3.205828_55.950276,-3.205828,55.951023,-3.206343"
Edinburgh Castle XV,gigitrix,https://www.ingress.com/mission/82ff103af18d4f36b04854fd3b0df97f.1c,Any Order,Banner,Edinburgh Castle (I-XIII),15,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.950997,-3.203343&z=17&pls=55.951141,-3.206023,55.951342,-3.205397_55.951342,-3.205397,55.951539,-3.204639_55.951539,-3.204639,55.951596,-3.204251_55.951596,-3.204251,55.951652,-3.203926_55.951652,-3.203926,55.951171,-3.202672"
Edinburgh Castle XVI,gigitrix,https://www.ingress.com/mission/9a80565158ae49c4b47a28ce67838b8f.1c,Any Order,Banner,Edinburgh Castle (I-XIII),16,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.951123,-3.199027&z=17&pls=55.950847,-3.202675,55.95099,-3.201922_55.95099,-3.201922,55.951038,-3.201055_55.951038,-3.201055,55.95156,-3.20012_55.95156,-3.20012,55.951419,-3.199446_55.951419,-3.199446,55.951554,-3.198679_55.951554,-3.198679,55.951776,-3.197395"
Edinburgh Castle XVII,gigitrix,https://www.ingress.com/mission/02b5c91f27cd4485a1ce778a0f02b90e.1c,Any Order,Banner,Edinburgh Castle (I-XIII),17,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.951111,-3.194563&z=17&pls=55.952318,-3.196473,55.952306,-3.195828_55.952306,-3.195828,55.952019,-3.195594_55.952019,-3.195594,55.95145,-3.195379_55.95145,-3.195379,55.951229,-3.19578_55.951229,-3.19578,55.95059,-3.194874_55.95059,-3.194874,55.950115,-3.194584"
Operation Vesper: 1/6,gigitrix,https://www.ingress.com/mission/c4fafe1da4524846b60e7bdf8a080b98.1c,Any Order,Banner,Operation Vesper,1,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952397,-3.199579&z=17&pls=55.952472,-3.203522,55.952754,-3.202879_55.952754,-3.202879,55.952763,-3.202495_55.952763,-3.202495,55.952826,-3.202157_55.952826,-3.202157,55.952693,-3.2015_55.952693,-3.2015,55.952769,-3.201158_55.952769,-3.201158,55.952859,-3.200499_55.952859,-3.200499,55.953005,-3.199732_55.953005,-3.199732,55.953163,-3.198655_55.953163,-3.198655,55.95337,-3.197365_55.95337,-3.197365,55.953338,-3.196995"
Operation Vesper: 2/6,gigitrix,https://www.ingress.com/mission/e7b942f4149342899861a9ed0ba6160a.1c,Any Order,Banner,Operation Vesper,2,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.953813,-3.193428&z=17&pls=55.953825,-3.196282,55.953679,-3.195634_55.953679,-3.195634,55.953955,-3.195784_55.953955,-3.195784,55.95399,-3.195333_55.95399,-3.195333,55.954092,-3.194752_55.954092,-3.194752,55.953984,-3.194476_55.953984,-3.194476,55.954719,-3.194251_55.954719,-3.194251,55.954359,-3.193913_55.954359,-3.193913,55.95462,-3.19302_55.95462,-3.19302,55.954872,-3.192203_55.954872,-3.192203,55.954464,-3.192064"
Operation Vesper: 3/6,gigitrix,https://www.ingress.com/mission/91f148be5138417ba2ff38fce3d87a38.1c,Any Order,Banner,Operation Vesper,3,All Hacks,No,0,No,"https://www.ingress.com/intel?ll=55.952932,-3.192088&z=18&pls=55.954093,-3.19182,55.953713,-3.192026_55.953713,-3.192026,55.953353,-3.191806_55.953353,-3.191806,55.953004,-3.191631_55.953004,-3.191631,55.952655,-3.191691_55.952655,-3.191691,55.952501,-3.192188_55.952501,-3.192188,55.952638,-3.192399_55.952638,-3.192399,55.952507,-3.192778_55.952507,-3.192778,55.952428,-3.193186_55.952428,-3.193186,55.952786,-3.193058_55.952786,-3.193058,55.952672,-3.193751"
